volunteer_site,nearest_professional_km
KSTEMP-09001,15.61291
OK120400-01-0425D,1.514987
OK120400-01-0470G,7.267815
OK120400-02-0010K,25.553281
OK120410-01-0160N,12.224076
OK120410-01-0210G,5.26436
OK120410-01-0210J,7.389583
OK120410-01-0210Y,11.311586
OK120410-01-0235M,11.302201
OK120410-01-0240N,10.368359
OK120420-01-0010G,6.64819
OK120420-01-0015P,2.765664
OK120420-01-0020K,3.289128
OK120420-01-0020S,6.461372
OK120420-01-0030G,1.381972
OK120420-01-0050L,7.36939
OK120420-01-0060G,6.86623
OK120420-01-0060K,8.235369
OK120420-01-0070B,8.507374
OK120420-01-0070J,7.391657
OK120420-01-0070P,5.352134
OK120420-01-0075J,7.342045
OK120420-01-0090A,11.988509
OK120420-01-0090G,12.32335
OK120420-01-0090M,13.386121
OK120420-01-0140T,6.539827
OK120420-01-0170F,9.02351
OK120420-01-0170T,10.943571
OK120420-01-0285M,3.908079
OK120420-01-0340K,11.073405
OK120420-02-0010C,1.707531
OK120420-02-0020K,2.604502
OK120420-02-0030G,0.085709
OK120420-02-0040G,4.727814
OK120420-02-0050G,3.128371
OK120420-02-0050J,5.041484
OK120420-02-0050W,2.503175
OK120420-02-0060G,4.884131
OK120420-02-0065C,2.569991
OK120420-02-0260M,4.973613
OK120420-03-0030M,0.989335
OK121300-01-0020G,3.689703
OK121300-01-0030C,4.291858
OK121300-01-0030R,13.174634
OK121300-01-0030Y,12.610988
OK121300-01-0050G,11.395665
OK121300-01-0055M,5.717847
OK121300-01-0060G,7.474464
OK121300-01-0070D,13.502684
OK121300-01-0090M,11.063716
OK121300-01-0120D,13.927225
OK121300-01-0120G,3.689703
OK121300-01-0120M,14.695968
OK121300-01-0140D,15.650678
OK121300-01-0150M,14.617574
OK121300-02-0010B,7.40816
OK121300-02-0010C,0.333532
OK121300-04-0030J,7.548013
OK121300-04-0030M,2.704957
OK121300-04-0210M,9.625828
OK121300-04-0280B,7.140623
OK121400-01-0080M,13.438195
OK121400-02-0030F,3.633985
OK121400-02-0030L,3.089082
OK121400-04-0010F,4.933023
OK121400-04-0010M,2.506159
OK121400-04-0030M,3.739419
OK121400-05-0040P,9.344664
OK121500-02-0150G,5.762814
OK121500-02-0150T,6.707933
OK121500-02-0390D,9.123508
OK121500-02-0390G,8.685085
OK121500-02-0400M,7.565239
OK121500-02-0480F,4.888648
OK121500-02-0480K,6.276395
OK121500-04-0010L,13.292165
OK121600-01-0080C,15.780645
OK121600-01-0090D,17.314547
OK121600-01-0090F,14.964288
OK121600-01-0100G,19.104518
OK121600-01-0290B,2.781468
OK121600-01-0290C,1.965048
OK121600-01-0290H,9.051391
OK121600-01-0290N,18.041946
OK121600-01-0290R,22.283514
OK121600-01-0290S,23.135791
OK121600-01-0290T,22.746624
OK121600-01-0290U,18.727244
OK121600-01-0300C,1.59997
OK121600-02-0200M,9.0939
OK121600-03-0160E,16.708461
OK121600-03-0190G,15.013898
OK121600-03-0320G,8.494389
OK121600-03-0320K,9.980973
OK121600-03-0390L,12.184673
OK121600-03-0445J,3.063121
OK121600-03-0445N,0.711258
OK121600-03-0510S,18.003611
OK121600-03-0560D,11.635117
OK121600-04-0060G,11.152261
OK121600-04-0060R,11.272696
OK121600-05-0140J,20.197527
OK121600-05-0160A,20.022027
OK121600-05-0180I,15.167684
OK121600-06-0300R,13.370157
OK121600-07-0010M,1.802653
OK121610-00-0100H,9.95503
OK121700-01-0370M,7.641245
OK121700-02-0270L,8.738217
OK121700-02-0270M,9.302455
OK121700-02-0270N,9.284762
OK121700-03-0030G,6.193188
OK121700-03-0040G,6.068112
OK121700-03-0040P,5.208007
OK121700-03-0110J,8.581272
OK121700-03-0290B,1.883515
OK121700-03-0370V,13.056883
OK121700-05-0010G,7.087532
OK121700-05-0070M,1.950312
OK121700-05-0170R,16.025007
OK121700-05-0180J,12.203079
OK220100-01-0010Y,4.185511
OK220100-01-0040P,13.225297
OK220100-01-0140J,15.512157
OK220100-01-0150J,13.560628
OK220100-01-0170F,10.515847
OK220100-01-0180C,4.196245
OK220100-01-0190G,3.184229
OK220100-01-0190K,4.813976
OK220100-01-0190M,5.682416
OK220100-02-0040D,3.774842
OK220100-04-0020P,30.580241
OK220100-04-0020T,22.052949
OK220100-04-0020X,14.716939
OK220100-04-0030K,21.537608
OK220100-04-0080G,25.836782
OK220200-02-0050D,30.867875
OK220200-04-0010L,15.473773
OK220200-04-0060C,16.75228
OK220200-05-0040E,24.411806
OK220300-00-0020M,12.323194
OK220600-01-0165D,5.290739
OK220600-01-0190M,5.566933
OK220600-01-0200K,9.472384
OK310800-01-0120A,3.049985
OK310800-01-0120C,5.765597
OK310800-01-0120E,2.355955
OK310800-01-0120K,4.301917
OK310800-01-0120M,0.042385
OK310800-01-0120R,6.903972
OK310800-02-0090D,7.181109
OK310800-02-0090T,2.166828
OK310800-02-0121C,1.502592
OK310800-02-0122F,2.079106
OK310800-02-0130D,3.81043
OK310810-04-0130C,9.330708
OK310810-05-0010M,0.028334
OK310830-03-0080P,7.369805
OK310830-05-0010C,1.973618
OK310840-01-0010L,4.097065
OK310840-01-0010M,0.075014
OK310840-02-0010M,3.031311
OK310840-02-0220M,7.702862
OK311100-02-0010W,14.259283
OK311210-00-0060Y,4.952759
OK311210-00-0090P,10.021945
OK311300-01-0400C,36.342163
OK311300-02-0010H,9.148421
OK311300-02-0010J,7.705633
OK311300-02-0040M,15.867906
OK311300-02-0040X,16.591287
OK311300-04-0010F,11.7556
OK311300-04-0060G,37.225344
OK311310-02-0020T,38.77481
OK311310-02-0020W,39.130659
OK311310-02-0070T,41.5411
OK311310-02-0090L,34.269409
OK311310-02-0140T,43.342024
OK311310-02-0150G,43.618244
OK410100-01-0060G,7.762463
OK410100-01-0480E,17.817983
OK410200-01-0210E,8.354611
OK410200-01-0230B,2.881654
OK410210-02-0300H,37.126075
OK410210-06-0010R,10.817615
OK410210-06-0020W,19.3892
OK410210-07-0010Z,5.059105
OK410210-09-0160K,34.200555
OK410300-01-0130F,10.836441
OK410300-03-0270L,27.00224
OK410310-01-0170W,45.39053
OK410310-01-0190G,50.048142
OK410310-02-0030D,41.993007
OK410310-02-0050D,33.579056
OK410400-03-0240W,4.718382
OK410400-04-0010U,0.019942
OK410400-04-0010X,3.42259
OK410400-04-0090D,0.683046
OK410400-04-0090P,4.586361
OK410600-01-0310G,16.299854
OK520500-00-0160H,7.006641
OK520500-01-0280D,8.72963
OK520500-02-0010Q,5.310917
OK520500-02-0090D,5.748362
OK520510-00-0110G,1.886435
OK520510-00-0170E,1.717347
OK520510-00-0170M,4.387274
OK520520-00-0030B,3.988077
OK520520-00-0030D,5.901707
OK520520-00-0050C,10.802752
OK520520-00-0070X,3.022822
OK520520-00-0080G,8.792777
OK520520-00-0090R,7.942141
OK520520-00-0150E,2.464993
OK520520-00-0230M,15.070205
OK520520-00-0240G,13.23561
OK520530-00-0025M,13.421522
OK520530-00-0050J,7.146674
OK520530-00-0060M,3.900448
OK520530-00-0090D,6.268665
OK520530-00-0110T,6.052251
OK520530-00-0150C,4.69808
OK520530-00-0190C,29.123537
OK520530-00-0190G,27.039755
OK520530-00-0200B,14.206638
OK520600-03-0020C,0.003871
OK520600-03-0020W,0.055861
OK520600-03-0030M,5.803124
OK520610-01-0180P,6.246046
OK520610-01-0180R,5.577638
OK520610-01-0180W,5.416702
OK520610-01-0181M,6.385333
OK520610-01-0200G,1.645116
OK520610-01-0205V,3.465172
OK520610-02-0020H,16.955383
OK520610-03-0010E,0.503672
OK520610-03-0110G,4.406127
OK520610-03-0115J,5.720462
OK520620-01-0060T,17.171148
OK520620-01-0120C,13.905154
OK520620-06-0040C,9.610225
OK520700-01-0120C,6.238338
OK520700-01-0290C,5.52151
OK520700-01-0290K,5.779356
OK520700-01-0290L,6.114893
OK520700-01-0290M,7.138229
OK520700-01-0290P,8.221291
OK520700-02-0010R,8.413388
OK520700-03-0040K,3.339519
OK520700-04-0190W,9.038534
OK520700-04-0350X,10.681183
OK520700-05-0160T,8.902722
OK520700-06-0130F,4.309578
OK520710-01-0060D,12.61814
OK520710-01-0090C,10.851684
OK520710-01-0100R,0.021757
OK520710-02-0030G,4.722533
OK520710-02-0060R,11.510503
OK520710-02-0110P,5.773349
OK520710-02-0140T,8.218441
OK520710-02-0170M,10.972899
OK520800-01-0150J,7.400334
OK520800-01-0150Y,7.459545
OK520810-00-0030D,14.891646
OK520810-00-0060M,0.015266
OK520810-00-0080P,0.931228
OK520810-00-0080T,0.811939
OK520810-00-0080Z,2.742664
OK520810-00-0090J,2.340833
OK520810-00-0100C,5.83891
OK520810-00-0140G,7.094901
OK520810-00-0140K,8.396961
OK520810-00-0170J,2.645705
OK520810-00-0170R,2.452585
OK620900-01-0250M,0.383575
OK620900-02-0060C,9.674766
OK620900-03-0060N,3.544429
OK620900-03-0090C,3.555758
OK620900-03-0160E,8.323721
OK620900-04-0050M,4.468485
OK620900-04-0070G,4.641466
OK620900-04-0070H,4.626602
OK620900-04-0070J,2.36691
OK620900-04-0070L,5.85651
OK620900-04-0070M,5.85651
OK620900-04-0070P,8.081976
OK620900-04-0100E,5.194897
OK620900-04-0140X,2.438254
OK620900-04-0150G,4.023299
OK620900-04-0180B,3.025379
OK620900-04-0180G,4.303667
OK620900-04-0195G,5.650835
